id,name,parentId,parentName,fullCompanyName,logoUrl,website,merchantCategoryCode,merchantCategoryDescription,registeredLocation,categoryId,analyticalCategory,transactionCategoryId,transactionCategory
984ee194-dec3-5064-b2c5-c7c4e31a609f,Lush,,,,,https://www.lush.com/uk/en,7298,Health and beauty spas,,health-and-beauty,health-and-beauty,std:c506e41e-a11b-4a38-a7f7-44c5e39cce5c,healthcare
03db0716-e47f-5856-bc20-969f71b14e5a,Raffleistic,,,,,https://raffleistic.co.uk/,null,,,gambling,gambling,std:22c8669d-a855-4619-a711-4759a3b64833,gambling
e306a919-19a9-5126-ad2b-8399d0feb1b1,betmgm,,,betmgm,,https://www.betmgm.co.uk/,null,,,gambling,gambling,std:22c8669d-a855-4619-a711-4759a3b64833,gambling
94e5285d-a56b-5838-b4a0-993fbce01e25,Loungers,,,,,,5811,Caterers,,restaurants,restaurants,std:379c7ed2-27f3-401f-b581-f6507934f0f0,entertainment
35b143f3-cae3-57ec-9a1d-406533713c90,Gymshark,,,,,,null,,,clothing,clothing,std:c506e41e-a11b-4a38-a7f7-44c5e39cce5c,healthcare
6ec523fe-ed20-5d10-89ff-25dda81270e1,jhoots pharmacy,,,jhoots pharmacy,,https://www.jhootspharmacy.co.uk/,null,,,healthcare,healthcare,std:c506e41e-a11b-4a38-a7f7-44c5e39cce5c,healthcare
69775be7-9be8-594b-a9a9-b0a3de46c3a6,Temu,,,Whaleco Technology Limited,,https://www.temu.com/,null,,"Scottish Provident House, 25 St Stephen's Green, Dublin Southside, Dublin 2, D02 XF99",online-shopping,online-shopping,std:cdc55410-176d-4c71-9bb2-6988b5d4913d,general
ce952cf1-51bc-5bad-8058-7ca35f4a0a45,Loqbox Grow,30e82ac6-ecfa-5641-94e4-dd03e2142b76,Loqbox,,,https://www.loqbox.com/en-gb/grow,null,,,savings,savings,std:83e99ba8-867b-4aeb-9d2f-12c8d799ccb0,savings
87773ad8-1fb4-5152-95d1-bcf0feacb2e2,Loqbox Unlock,30e82ac6-ecfa-5641-94e4-dd03e2142b76,Loqbox,,,,null,,,savings-app,savings-app,std:83e99ba8-867b-4aeb-9d2f-12c8d799ccb0,savings
23461798-6c6c-5b39-aef6-6afb7fd26bb5,DWP Child Maintenance,991776bd-7572-5f1d-a7a9-c6ff957da6e4,DWP,DWP,,,null,,,income-benefits,income-benefits,std:09f5c144-6d90-4228-98c6-cac1331d874b,child
